title,unique_id,run_time,metascore,genres,month,year,description,director,stars,netflix_id
Fireflies in the Garden (2008),tt0961108,120,34,Drama,10,2011,The Taylor family is devastated by an accident that takes place on the day their matriarch is due to graduate from college -- decades after leaving to raise her children.,Dennis Lee,"Ryan Reynolds,Willem Dafoe,Emily Watson,Carrie-Anne Moss",
Paranormal Activity 3 (2011),tt1778304,83,59,Horror,10,2011,"In 1988, young sisters Katie and Kristi befriend an invisible entity who resides in their home.",Henry Joost,"Chloe Csengery,Jessica Tyler Brown,Christopher Nicholas Smith,Lauren Bittner",
The Three Musketeers (2011),tt1509767,110,35,"Action,Adventure,Romance",10,2011,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Paul W.S. Anderson,"Logan Lerman,Matthew Macfadyen,Ray Stevenson,Milla Jovovich",
Johnny English Reborn (2011),tt1634122,101,46,"Action,Adventure,Comedy,Crime,Drama",10,2011,Johnny English goes up against international assassins hunting down the Chinese premier.,Oliver Parker,"Rowan Atkinson,Rosamund Pike,Dominic West,Roger Barclay",70184054
Martha Marcy May Marlene (2011),tt1441326,102,76,"Drama,Thriller",10,2011,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",Sean Durkin,"Elizabeth Olsen,Sarah Paulson,John Hawkes,Christopher Abbott",
Being Elmo: A Puppeteer's Journey (2011),tt1787660,80,71,Documentary,10,2011,The Muppet Elmo is one of the most beloved characters among children across the globe. Meet the unlikely man behind the puppet - the heart and soul of Elmo - Kevin Clash.,Constance Marks,"Kevin Clash,Whoopi Goldberg,Frank Oz,Bill Barretta",
Margin Call (2011),tt1615147,107,76,"Drama,Thriller",10,2011,"Follows the key people at an investment bank, over a 24-hour period, during the early stages of the financial crisis.",J.C. Chandor,"Zachary Quinto,Stanley Tucci,Kevin Spacey,Paul Bettany",
Revenge of the Electric Car (2011),tt1413496,90,63,Documentary,10,2011,"Director Chris Paine takes his film crew behind the closed doors of Nissan, GM, and the Silicon Valley start-up Tesla Motors to chronicle the story of the global resurgence of electric cars.",Chris Paine,"Tim Robbins,Dan Neil,Danny DeVito,Ray Wert",
Le Havre (2011),tt1508675,93,82,"Comedy,Drama",10,2011,"When an African boy arrives by cargo ship in the port city of Le Havre, an aging shoe shiner takes pity on the child and welcomes him into his home.",Aki Kaurismäki,"André Wilms,Blondin Miguel,Jean-Pierre Darroussin,Kati Outinen",
Norman (2010),tt1247683,99,60,"Comedy,Drama",10,2011,A troubled high-school kid pretending to be dying of cancer confronts problems with his new girlfriend and terminally ill father as he struggles with his daily existence.,Jonathan Segal,"Dan Byrd,Emily VanCamp,Richard Jenkins,Adam Goldberg",
Elevate (2011),tt1634138,81,67,Documentary,10,2011,"From a basketball academy in Senegal, to the high-pressure world of American prep schools, the film documents the extraordinary personal journeys of four particularly tall West African Muslim teenage boys with NBA dreams.",Anne Buford,"Amadou Gallo Fall,Dethie",
Glitch in the Grid (2011),tt1612318,82,,"Animation,Drama",10,2011,Three artists struggling against the grid of society find spiritual renewal.,Eric Leiser,"Jay Masonek,Jeffrey Leiser,Eric Leiser,Travis Bellman",
Puss in Boots (2011),tt0448694,90,65,"Animation,Adventure,Comedy,Family,Fantasy",10,2011,The events leading up to the sword fighting cat's meeting with Shrek and his friends.,Chris Miller,"Antonio Banderas,Salma Hayek,Zach Galifianakis,Billy Bob Thornton",
In Time (2011),tt1637688,109,53,"Action,Sci-Fi,Thriller",10,2011,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",Andrew Niccol,"Justin Timberlake,Amanda Seyfried,Cillian Murphy,Olivia Wilde",
The Rum Diary (2011),tt0376136,120,56,"Comedy,Drama",10,2011,American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.,Bruce Robinson,"Johnny Depp,Giovanni Ribisi,Aaron Eckhart,Michael Rispoli",
Anonymous (2011),tt1521197,130,50,"Drama,History,Thriller",10,2011,"The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.",Roland Emmerich,"Rhys Ifans,Vanessa Redgrave,David Thewlis,Sebastian Armesto",
Like Crazy (2011),tt1758692,90,71,"Drama,Romance",10,2011,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",Drake Doremus,"Felicity Jones,Anton Yelchin,Jennifer Lawrence,Charlie Bewley",
Janie Jones (2010),tt1509130,114,52,"Drama,Music",10,2011,A young girl who has been abandoned by her former-groupie mother informs a fading rock star that she is his daughter.,David M. Rosenthal,"Abigail Breslin,Alessandro Nivola,Elisabeth Shue,Brittany Snow",
13 (2010),tt0798817,91,29,"Drama,Thriller",10,2011,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",Géla Babluani,"Sam Riley,Alice Barrett,Gaby Hoffmann,Jason Statham",
The Double (2011),tt1646980,98,37,"Action,Crime,Drama,Mystery,Thriller",10,2011,"A retired CIA operative is paired with a young FBI agent to unravel the mystery of a senator's murder, with all signs pointing to a Soviet assassin.",Michael Brandt,"Richard Gere,Topher Grace,Martin Sheen,Tamer Hassan",70212955
My Reincarnation (2011),tt1740799,90,63,"Documentary,Adventure,Biography,Family",10,2011,"Tibetan Buddhist Master Choogyal Namkhai Norbu watches as his western-born son, Yeshi, who was recognized at birth as the reincarnation of a famous spiritual master, considers departing from tradition to embrace the modern world.",Jennifer Fox,"Yeshi Silvano Namkhai,Chögyal Namkhai Norbu",
Medianeras (2011),tt1235841,95,60,"Comedy,Drama",10,2011,"Martín and Mariana are slightly damaged people who live in buildings just opposite one another. While they often don't notice each other, separation might be the very thing that brings them together.",Gustavo Taretto,"Javier Drolas,Pilar López de Ayala,Inés Efron,Adrián Navarro",
A Very Harold & Kumar 3D Christmas (2011),tt1268799,90,61,Comedy,11,2011,"Six years after their Guantanamo Bay adventure, stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father-in-law's prize Christmas tree.",Todd Strauss-Schulson,"Kal Penn,John Cho,Neil Patrick Harris,Patton Oswalt",
Tower Heist (2011),tt0471042,104,59,"Action,Comedy,Crime",11,2011,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",Brett Ratner,"Eddie Murphy,Ben Stiller,Casey Affleck,Alan Alda",
The Son of No One (2011),tt1535612,90,36,"Crime,Drama,Thriller",11,2011,"A young cop is assigned to a precinct in the working class neighborhood where he grew up, and an old secret threatens to destroy his life and his family.",Dito Montiel,"Channing Tatum,Al Pacino,Juliette Binoche,James Ransone",
Killing Bono (2011),tt1535101,114,46,"Comedy,Music",11,2011,Two brothers attempt to become global rock stars but can only look on as old school friends U2 become the biggest band in the world.,Nick Hamm,"Ben Barnes,Robert Sheehan,Krysten Ritter,Ralph Brown",
Young Goethe in Love (2010),tt1440180,102,55,"Drama,Romance",11,2011,"After aspiring poet Johann Wolfgang von Goethe fails his law exams, he's sent to a sleepy provincial court to reform. Instead, he falls for Lotte, a young woman who is promised to another man.",Philipp Stölzl,"Alexander Fehling,Miriam Stein,Moritz Bleibtreu,Volker Bruch",
Elle s'appelait Sarah (2010),tt1668200,111,59,"Drama,War",11,2011,"In modern-day Paris, a journalist finds her life becoming entwined with a young girl whose family was torn apart during the notorious Vel' d'Hiv Roundup in 1942.",Gilles Paquet-Brenner,"Kristin Scott Thomas,Mélusine Mayance,Niels Arestrup,Frédéric Pierrot",
Immortals (2011),tt1253864,110,46,"Action,Drama,Fantasy",11,2011,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",Tarsem Singh,"Henry Cavill,Mickey Rourke,John Hurt,Stephen Dorff",
J. Edgar (2011),tt1616195,137,59,"Biography,Crime,Drama",11,2011,"J. Edgar Hoover, powerful head of the F.B.I. for nearly 50 years, looks back on his professional and personal life.",Clint Eastwood,"Leonardo DiCaprio,Armie Hammer,Naomi Watts,Josh Hamilton",
Melancholia (2011),tt1527186,130,80,"Drama,Sci-Fi",11,2011,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,Lars von Trier,"Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,Alexander Skarsgård",70184165
Jack and Jill (2011),tt0810913,91,23,Comedy,11,2011,"Family guy Jack Sadelstein prepares for the annual event he dreads: the Thanksgiving visit of his twin sister, the needy and passive-aggressive Jill, who then refuses to leave.",Dennis Dugan,"Adam Sandler,Katie Holmes,Al Pacino,Elodie Tougne",
London Boulevard (2010),tt1213648,103,52,"Crime,Drama",11,2011,An ex-con with a reputation tries to go straight by working as a handy man for a reclusive actress but this is unfortunately not the wish of London's underground crime lord.,William Monahan,"Colin Farrell,Keira Knightley,Ray Winstone,David Thewlis",70124964
Into the Abyss (2011),tt1972663,107,74,"Documentary,Crime",11,2011,Conversations with death row inmate Michael Perry and those affected by his crime serve as an examination of why people - and the state - kill.,Werner Herzog,"Werner Herzog,Richard Lopez,Michael Perry,Damon Hall",
Elite Squad: The Enemy Within (2010),tt1555149,115,71,"Action,Crime,Drama,Thriller",11,2011,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",José Padilha,"Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz",70166258
11-11-11 (2011),tt1712159,90,26,"Horror,Mystery,Thriller",11,2011,"After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.",Darren Lynn Bousman,"Timothy Gibbs,Michael Landes,Wendy Glenn,Benjamin Cook",
The Twilight Saga: Breaking Dawn - Part 1 (2011),tt1324999,117,45,"Adventure,Drama,Fantasy,Romance",11,2011,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner,Gil Birmingham",
Happy Feet Two (2011),tt1402488,100,50,"Animation,Comedy,Family,Musical",11,2011,"Mumble's son, Erik, is struggling to realize his talents in the Emperor Penguin world. Meanwhile, Mumble and his family and friends discover a new threat their home -- one that will take everyone working together to save them.",George Miller,"Elijah Wood,Robin Williams,Pink,Carlos Alazraqui",
The Descendants (2011),tt1033575,115,84,"Comedy,Drama",11,2011,A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,Alexander Payne,"George Clooney,Shailene Woodley,Amara Miller,Nick Krause",
Tyrannosaur (2011),tt1204340,92,65,Drama,11,2011,"Joseph, a man plagued by violence and a rage that is driving him to self-destruction, earns a chance of redemption that appears in the form of Hannah, a Christian charity shop worker.",Paddy Considine,"Peter Mullan,Archie Lal,Jag Sanghera,Mike Fearnley",
The Lie (2011),tt1531930,80,59,Drama,11,2011,A man's life is altered unexpectedly after telling a lie to get out of work.,Joshua Leonard,"Joshua Leonard,Jess Weixler,Kelli Garner,Alia Shawkat",
Another Happy Day (2011),tt1719071,119,46,"Comedy,Drama",11,2011,A wedding at her parents' Annapolis estate hurls high-strung Lynn into the center of touchy family dynamics.,Sam Levinson,"Ellen Barkin,Ezra Miller,Ellen Burstyn,Demi Moore",
Tomboy (2011),tt1847731,82,74,Drama,11,2011,A 10-year old transgender boy moves to a new neighborhood with his family. He introduces himself as a boy for the first time to new friends.,Céline Sciamma,"Zoé Héran,Malonn Lévana,Jeanne Disson,Sophie Cattani",70197207
Hugo (2011),tt0970179,126,83,"Adventure,Drama,Family,Mystery",11,2011,"Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",Martin Scorsese,"Asa Butterfield,Chloë Grace Moretz,Christopher Lee,Ben Kingsley",
The Muppets (2011),tt1204342,103,75,"Comedy,Family,Musical",11,2011,A Muppet fanatic with some help from his two human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,James Bobin,"Amy Adams,Jason Segel,Chris Cooper,Rashida Jones",
A Dangerous Method (2011),tt1571222,99,76,"Biography,Drama,Thriller",11,2011,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,David Cronenberg,"Michael Fassbender,Keira Knightley,Viggo Mortensen,Vincent Cassel",
My Week with Marilyn (2011),tt1655420,99,65,"Biography,Drama",11,2011,"Colin Clark, an employee of Sir Laurence Olivier's, documents the tense interaction between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).",Simon Curtis,"Michelle Williams,Eddie Redmayne,Kenneth Branagh,Julia Ormond",70202150
Arthur Christmas (2011),tt1430607,97,69,"Animation,Comedy,Drama,Family",11,2011,Santa's clumsy son Arthur gets put on a mission with St. Nick's father to give out a present they misplaced to a young girl in less than 2 hours.,Sarah Smith,"James McAvoy,Jim Broadbent,Bill Nighy,Hugh Laurie",
The Artist (2011),tt1655442,100,89,"Comedy,Drama,Romance",11,2011,"A silent movie star meets a young dancer, but the arrival of talking pictures sends their careers in opposite directions.",Michel Hazanavicius,"Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell",
Shame (2011),tt1723811,101,72,Drama,12,2011,"In New York City, Brandon's carefully cultivated private life -- which allows him to indulge his sexual addiction -- is disrupted when his sister arrives unannounced for an indefinite stay.",Steve McQueen,"Michael Fassbender,Carey Mulligan,James Badge Dale,Lucy Walters",
Autoreiji (2010),tt1462667,109,67,"Crime,Drama",12,2011,"The boss of a major crime syndicate orders his lieutenant to bring a rogue gang of drug traffickers in line, a job that gets passed on to his long-suffering subordinate.",Takeshi Kitano,"Takeshi Kitano,Kippei Shîna,Ryô Kase,Fumiyo Kohinata",
Kinyarwanda (2011),tt1572154,100,69,"Drama,Romance",12,2011,A young Tutsi woman and a young Hutu man fall in love amidst chaos; a soldier struggles to foster a greater good while absent from her family; and a priest grapples with his faith in the face of unspeakable horror.,Alrick Brown,"Cleophas Kabasita,Hadidja Zaninka,Marc Gwamaka,Cassandra Freeman",
Sleeping Beauty (2011),tt1588398,101,57,"Drama,Romance",12,2011,"A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires.",Julia Leigh,"Emily Browning,Rachael Blake,Ewen Leslie,Bridgette Barrett",70189315
Tinker Tailor Soldier Spy (2011),tt1340800,127,85,"Drama,Mystery,Thriller",12,2011,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet agent within MI6.",Tomas Alfredson,"Gary Oldman,Colin Firth,Tom Hardy,Mark Strong",70202128
New Year's Eve (2011),tt1598822,113,22,"Comedy,Romance",12,2011,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,Garry Marshall,"Sarah Jessica Parker,Jessica Biel,Ashton Kutcher,Michelle Pfeiffer",
Young Adult (2011),tt1625346,94,71,"Comedy,Drama",12,2011,"Soon after her divorce, a fiction writer returns to her home in small-town Minnesota, looking to rekindle a romance with her ex-boyfriend, who is now happily married and has a newborn daughter.",Jason Reitman,"Charlize Theron,Patrick Wilson,Patton Oswalt,Elizabeth Reaser",
The Sitter (2011),tt1366344,81,39,Comedy,12,2011,"A college student on suspension is coaxed into babysitting the kids next door, though he is fully unprepared for the wild night ahead of him.",David Gordon Green,"Jonah Hill,Ari Graynor,Sam Rockwell,Max Records",
W.E. (2011),tt1536048,119,37,"Drama,History,Romance",12,2011,"The affair between King Edward VIII and American divorcée Wallis Simpson, and a contemporary romance between a married woman and a Russian security guard.",Madonna,"Abbie Cornish,James D'Arcy,Andrea Riseborough,Oscar Isaac",
I Melt with You (2011),tt1691920,129,26,Drama,12,2011,"When four 40-something college friends meet up for their annual reunion, things start to spiral out of control, and a pact they made as young men is revisited.",Mark Pellington,"Thomas Jane,Rob Lowe,Jeremy Piven,Christian McKay",70167109
We Need to Talk About Kevin (2011),tt1242460,112,68,Drama,12,2011,"Kevin's mother struggles to love her strange child, despite the increasingly vicious things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.",Lynne Ramsay,"Tilda Swinton,John C. Reilly,Ezra Miller,Jasper Newell",
Knuckle (2011),tt1606259,97,65,"Documentary,Biography,Drama",12,2011,An epic 12-year journey into the brutal and secretive world of Irish Traveler bare-knuckle fighting. This film follows a history of violent feuding between rival clans.,Ian Palmer,"James Quinn McDonagh,Paddy Quinn McDonagh,Michael Quinn McDonagh,Ian Palmer",
London River (2009),tt1227787,88,67,"Drama,Mystery",12,2011,Two strangers come to discover the fate of their respective children in the 2005 terrorist attacks on London.,Rachid Bouchareb,"Brenda Blethyn,Sotigui Kouyaté,Sami Bouajila,Roschdy Zem",
Ladies vs. Ricky Bahl (2011),tt1954598,140,,"Comedy,Drama",12,2011,Three women hire a fourth to try and get even with a con-man.,Maneesh Sharma,"Ranveer Singh,Anushka Sharma,Parineeti Chopra,Dipannita Sharma",70224885
Sherlock Holmes: A Game of Shadows (2011),tt1515091,129,48,"Action,Adventure,Crime,Mystery,Thriller",12,2011,"Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.",Guy Ritchie,"Robert Downey Jr.,Jude Law,Jared Harris,Rachel McAdams",
Mission: Impossible - Ghost Protocol (2011),tt1229238,133,73,"Action,Adventure,Thriller",12,2011,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Brad Bird,"Tom Cruise,Jeremy Renner,Simon Pegg,Paula Patton",
Carnage (2011),tt1692486,80,61,"Comedy,Drama",12,2011,"Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.",Roman Polanski,"Jodie Foster,Kate Winslet,Christoph Waltz,John C. Reilly",
Alvin and the Chipmunks: Chipwrecked (2011),tt1615918,87,24,"Animation,Adventure,Comedy,Family,Fantasy,Music",12,2011,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",Mike Mitchell,"Justin Long,Jesse McCartney,Jason Lee,David Cross",
Corman's World: Exploits of a Hollywood Rebel (2011),tt1185371,95,,Documentary,12,2011,A documentary on DIY producer/director Roger Corman and his alternative approach to making movies in Hollywood.,Alex Stapleton,"Roger Corman,Martin Scorsese,Quentin Tarantino,Paul W.S. Anderson",
Cook County (2009),tt1147682,93,44,Drama,12,2011,"After a stint in prison, Sonny returns to his home in East Texas, determined to repair his relationship with his son. Standing in his way is his brother, who has turned the home into a crumbling meth lab.",David Pomes,"Anson Mount,Xander Berkeley,Ryan Donowho,Polly Cole",
The Girl with the Dragon Tattoo (2011),tt1568346,158,71,"Crime,Drama,Mystery,Thriller",12,2011,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",David Fincher,"Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård",
Mission: Impossible - Ghost Protocol (2011),tt1229238,133,73,"Action,Adventure,Thriller",12,2011,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Brad Bird,"Tom Cruise,Jeremy Renner,Simon Pegg,Paula Patton",
The Adventures of Tintin (2011),tt0983193,107,68,"Animation,Action,Adventure,Family,Mystery",12,2011,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,Steven Spielberg,"Jamie Bell,Andy Serkis,Daniel Craig,Simon Pegg",
We Bought a Zoo (2011),tt1389137,124,58,"Comedy,Drama,Family",12,2011,"Set in Southern California, a father moves his young family to the countryside to renovate and re-open a struggling zoo.",Cameron Crowe,"Matt Damon,Scarlett Johansson,Thomas Haden Church,Elle Fanning",
In the Land of Blood and Honey (2011),tt1714209,127,56,"Drama,Romance,War",12,2011,"During the Bosnian War, Danijel, a soldier fighting for the Serbs, re-encounters Ajla, a Bosnian who's now a captive in his camp he oversees. Their once promising connection has become ambiguous as their motives have changed.",Angelina Jolie,"Zana Marjanovic,Goran Kostic,Rade Serbedzija,Vanessa Glodjo",
Don 2 (2011),tt1285241,148,49,"Action,Crime,Drama,Mystery,Thriller",12,2011,"An international gangster turns himself in, then dramatically escapes - only to face treachery and betrayal.",Farhan Akhtar,"Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra",70224999
Pina (2011),tt1440266,103,83,Documentary,12,2011,"A tribute to the late German choreographer, Pina Bausch, as her dancers perform her most famous creations.",Wim Wenders,"Pina Bausch,Regina Advento,Malou Airaudo,Ruth Amarante",
Miss Minoes (2001),tt0279231,86,50,"Comedy,Family,Fantasy",12,2011,A cat who turns into a young woman helps a journalist protect their town from a factory boss with an evil plan.,Vincent Bal,"Carice van Houten,Theo Maassen,Sarah Bannier,Pierre Bokma",
The Iron Lady (2011),tt1007029,105,54,"Biography,Drama,History",12,2011,"An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.",Phyllida Lloyd,"Meryl Streep,Jim Broadbent,Richard E. Grant,Susan Brown",70189282
Pariah (2011),tt1233334,86,79,Drama,12,2011,"A Brooklyn teenager juggles conflicting identities and risks friendship, heartbreak, and family in a desperate search for sexual expression.",Dee Rees,"Adepero Oduye,Kim Wayans,Aasha Davis,Pernell Walker",70169901
Jodaeiye Nader az Simin (2011),tt1832382,123,95,Drama,12,2011,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,"Peyman Moaadi,Leila Hatami,Sareh Bayat,Shahab Hosseini",
"El Sicario, Room 164 (2010)",tt1760956,80,76,Documentary,12,2011,"The story of a hitman for the drug cartels in Ciudad Juarez, Mexico.",Gianfranco Rosi,,
Angels Crest (2011),tt1559040,92,38,Drama,12,2011,The disappearance of a 3-year-old boy divides a tightly knit community and culls out its secrets.,Gaby Dellal,"Thomas Dekker,Lynn Collins,Elizabeth McGovern,Joseph Morgan",70138802
War Horse (2011),tt1568911,146,72,"Drama,War",12,2011,Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,Steven Spielberg,"Jeremy Irvine,Emily Watson,David Thewlis,Benedict Cumberbatch",
Extremely Loud & Incredibly Close (2011),tt0477302,129,46,"Adventure,Drama,Mystery",12,2011,"A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.",Stephen Daldry,"Thomas Horn,Tom Hanks,Sandra Bullock,Max von Sydow",
The Darkest Hour (2011),tt1093357,89,16,"Action,Drama,Horror,Sci-Fi,Thriller",12,2011,"In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply.",Chris Gorak,"Emile Hirsch,Olivia Thirlby,Max Minghella,Rachael Taylor",
The Devil Inside (2012),tt1560985,83,18,Horror,1,2012,"In Italy, a woman becomes involved in a series of unauthorized exorcisms during her mission to discover what happened to her mother, who allegedly murdered three people during her own exorcism.",William Brent Bell,"Fernanda Andrade,Simon Quarterman,Evan Helmuth,Ionut Grama",
Roadie (2011),tt1450330,95,61,"Comedy,Drama,Music",1,2012,"After 20 years on the road with Blue Oyster Cult, Jimmy Testagros returns to his hometown to life with his ailing mother. Complications arise when he falls for an old friend, who is now married to his longtime nemesis.",Michael Cuesta,"Ron Eldard,Bobby Cannavale,Jill Hennessy,Lois Smith",
Beneath the Darkness (2011),tt1781775,96,22,"Horror,Thriller",1,2012,"After watching their best friend get murdered, a group of teens struggle to expose a local hero as the vicious killer and keep from becoming his next victims.",Martin Guigui,"Dennis Quaid,Tony Oller,Aimee Teegarden,Stephen Lunsford",
Bir zamanlar Anadolu'da (2011),tt1827487,157,82,"Crime,Drama",1,2012,A group of men set out in search of a dead body in the Anatolian steppes.,Nuri Bilge Ceylan,"Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan",
Noruwei no mori (2010),tt1270842,133,58,"Drama,Romance",1,2012,"Toru recalls his life in the 1960s, when his friend Kizuki killed himself and he grew close to Naoko, Kizuki's girlfriend, and another woman, the outgoing, lively Midori.",Tran Anh Hung,"Ken'ichi Matsuyama,Rinko Kikuchi,Kiko Mizuhara,Kengo Kôra",
Contraband (2012),tt1524137,109,51,"Action,Crime,Drama,Thriller",1,2012,"To protect his brother-in-law from a drug lord, a former smuggler heads to Panama to score millions of dollars in counterfeit bills.",Baltasar Kormákur,"Mark Wahlberg,Giovanni Ribisi,Kate Beckinsale,Ben Foster",
Joyful Noise (2012),tt1710396,118,44,"Comedy,Music",1,2012,"G.G. Sparrow faces off with her choir's newly appointed director, Vi Rose Hill, over the group's direction as they head into a national competition.",Todd Graff,"Queen Latifah,Dolly Parton,Keke Palmer,Jeremy Jordan",
The Iron Lady (2011),tt1007029,105,54,"Biography,Drama,History",1,2012,"An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.",Phyllida Lloyd,"Meryl Streep,Jim Broadbent,Richard E. Grant,Susan Brown",70189282
Beauty and the Beast (1991),tt0101414,84,,"Animation,Family,Fantasy,Musical,Romance",1,2012,"Belle, whose father is imprisoned by the Beast, offers herself instead, unaware her captor to be an enchanted prince.",Gary Trousdale,"Paige O'Hara,Robby Benson,Jesse Corti,Rex Everhart",
Albatross (2011),tt1541149,90,42,Drama,1,2012,"Beth, a bookish teenager, befriends Emilia, an aspiring novelist who has just arrived in town. Emilia soon begins an affair with Beth's father that threatens to have devastating consequences.",Niall MacCormick,"Felicity Jones,Jessica Brown Findlay,Sebastian Koch,Julia Ormond",
The Divide (2011),tt1535616,112,28,"Drama,Sci-Fi,Thriller",1,2012,"Survivors of a nuclear attack are grouped together for days in the basement of their apartment building, where fear and dwindling supplies wear away at their dynamic.",Xavier Gens,"Lauren German,Michael Biehn,Milo Ventimiglia,Courtney B. Vance",
Loosies (2011),tt1568337,89,35,"Action,Comedy,Crime",1,2012,"A young pickpocket in the New York subways, living a fast, free, lifestyle is confronted by a woman with whom he had a one night affair.",Michael Corrente,"Peter Facinelli,Jaimie Alexander,Michael Madsen,Vincent Gallo",70218748
We Need to Talk About Kevin (2011),tt1242460,112,68,Drama,1,2012,"Kevin's mother struggles to love her strange child, despite the increasingly vicious things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.",Lynne Ramsay,"Tilda Swinton,John C. Reilly,Ezra Miller,Jasper Newell",
Don't Go in the Woods (2010),tt1651065,83,29,"Horror,Musical",1,2012,"A young band heads to the woods in order to focus on writing new songs. Hoping to emerge with new music that will score them their big break, they instead find themselves in the middle of a nightmare beyond comprehension.",Vincent D'Onofrio,"Bo Boddie,Eric Bogosian,Gwynn Galitzer,Tim Lajcik",
Underworld: Awakening (2012),tt1496025,88,39,"Action,Fantasy,Horror",1,2012,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.",Måns Mårlind,"Kate Beckinsale,Michael Ealy,India Eisley,Stephen Rea",
Haywire (2011),tt1506999,93,67,"Action,Thriller",1,2012,A black ops super soldier seeks payback after she is betrayed and set up during a mission.,Steven Soderbergh,"Gina Carano,Ewan McGregor,Michael Fassbender,Michael Angarano",
