place,place_tr,country,country_tr,begin_date,end_date,arrived_by,arrived_by_tr,story,story_tr,the_geom,cartodb_georef_status,cartodb_id,created_at,updated_at,lat,lon,zoom
Goa,Goa,India,Hindistan,2015-02-12 00:00:00+00,2015-02-19 00:00:00+00,plane,plane,,,0101000020E6100000AA9A20EA3E7A524054742497FF002F40,TRUE,6,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,15.50195,73.91009,6
Chennai,Chennai,India,Hindistan,2015-02-19 00:00:00+00,2015-02-19 00:00:00+00,plane,plane,,,0101000020E6100000B2BAD573D2115440B08F4E5DF92C2A40,TRUE,7,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,13.08784,80.27847,6
Istanbul,Istanbul,Turkey,TŸrkiye,2015-02-02 00:00:00+00,2015-02-02 00:00:00+00,plane,plane,,,0101000020E6100000C251F2EA1CF33C4036B05582C5814440,TRUE,1,2015-04-25 15:48:04.201911+00,2015-04-25 18:06:46.289627+00,41.01384,28.94966,8
Dubai,Dubai,UAE,Birle_ik Arap Emirlikleri,2015-02-03 00:00:00+00,2015-02-06 00:00:00+00,plane,plane,,,0101000020E6100000F437A11001A74B40EECEDA6D17423940,TRUE,2,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:11.203804+00,25.25817,55.30472,7
Kalpitiya,Kalpitiya,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E6100000E25817B7D1F05340EF38454772792040,TRUE,9,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:35.218311+00,8.2372,79.7628,9
Puttalam,Puttalam,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E6100000B7D100DE02F55340FB3A70CE88122040,TRUE,10,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:36.837436+00,8.0362,79.8283,9
Anuradhapura,Anuradhapura,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E61000004AD235936F1A544000A94D9CDC9F2040,TRUE,11,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:38.436849+00,8.31223,80.41306,9
Polonnaruwa,Polonnaruwa,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E6100000079964E42C405440E0BE0E9C33C21F40,TRUE,12,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:39.844043+00,7.93965,81.00274,9
Dambulla,Dambulla,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E6100000327216F6B4295440713D0AD7A3701F40,TRUE,13,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:41.884766+00,7.86,80.65167,9
Sigiriya,Sigiriya,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E61000009279E40F06305440CE70033E3FCC1F40,TRUE,14,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:46.030395+00,7.94946,80.75037,9
Hatton,Hatton,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E6100000273108AC1C26544054742497FF901B40,TRUE,16,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:50.776132+00,6.8916,80.5955,9
Sri Padaya (Adam's Peak),Sri Padaya (Adam's Peak),Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E6100000EB73B515FB1F5440C9E53FA4DF3E1B40,TRUE,17,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:52.214641+00,6.8114,80.4997,9
Fraser Island,Fraser Island,Australia,Avustralya,,,ship,ship,,,0101000020E6100000D1915CFE432463400F0BB5A6793739C0,TRUE,36,2015-04-25 15:48:04.201911+00,2015-04-25 17:33:14.7618+00,-25.2167,153.1333,8
Ko Tao,Ko Tao,Thailand,Tayland,,,ship,ship,,,0101000020E6100000C4B12E6EA3F558403333333333332440,TRUE,39,2015-04-25 15:48:04.201911+00,2015-04-25 17:33:56.790222+00,10.1,99.8381,8
